number,yearly_avg,monthly_avg,weekly_avg,daily_avg,hourly_avg
00456,4.0,4.0,4.0,1.3333333333333333,1.0
32275,14.0,7.0,4.666666666666667,2.8,1.5555555555555556
44801,8.0,8.0,8.0,2.0,1.6
28473,2.0,2.0,2.0,1.0,1.0
21331,5.0,5.0,5.0,2.5,2.5
38271,1.0,1.0,1.0,1.0,1.0
90022,3.0,3.0,3.0,1.0,1.0
47880,35.0,35.0,35.0,7.0,3.1818181818181817
39917,35.0,35.0,35.0,7.0,2.6923076923076925
07256,18.0,9.0,6.0,6.0,4.5
39103,1.0,1.0,1.0,1.0,1.0
16974,1.0,1.0,1.0,1.0,1.0
32558,4.0,4.0,4.0,2.0,2.0
89771,1.0,1.0,1.0,1.0,1.0
76321,2.0,2.0,2.0,2.0,1.0
60095,3.0,3.0,1.0,1.0,1.0
76674,3.0,3.0,3.0,3.0,3.0
39659,3.0,3.0,3.0,3.0,3.0
35004,1.0,1.0,1.0,1.0,1.0
07342,8.0,8.0,8.0,2.6666666666666665,1.1428571428571428
03788,3.0,3.0,3.0,3.0,3.0
51550,10.0,10.0,2.5,1.6666666666666667,1.25
91421,11.0,11.0,11.0,5.5,5.5
87117,10.0,3.3333333333333335,3.3333333333333335,2.5,2.5
50961,24.0,12.0,4.8,3.4285714285714284,2.4
07283,20.0,20.0,20.0,6.666666666666667,2.0
32812,1.0,1.0,1.0,1.0,1.0
20219,2.0,2.0,2.0,2.0,2.0
15574,19.0,19.0,19.0,3.8,2.375
06715,19.0,19.0,19.0,4.75,2.111111111111111
56662,4.0,4.0,4.0,2.0,2.0
57608,2.0,2.0,2.0,2.0,2.0
69295,13.0,6.5,2.1666666666666665,1.8571428571428572,1.8571428571428572
79849,14.0,14.0,14.0,4.666666666666667,2.3333333333333335
38223,53.0,26.5,8.833333333333334,5.3,3.533333333333333
77930,71.0,71.0,71.0,14.2,6.454545454545454
54008,1.0,1.0,1.0,1.0,1.0
28158,3.0,3.0,3.0,3.0,3.0
39581,2.0,2.0,2.0,2.0,1.0
98717,16.0,8.0,5.333333333333333,5.333333333333333,2.6666666666666665
58185,33.0,16.5,16.5,6.6,4.125
91959,1.0,1.0,1.0,1.0,1.0
41374,1.0,1.0,1.0,1.0,1.0
58744,18.0,18.0,6.0,3.0,2.25
83101,18.0,18.0,18.0,4.5,2.5714285714285716
90391,7.0,7.0,3.5,3.5,1.75
28839,19.0,19.0,3.8,2.7142857142857144,2.375
83450,3.0,3.0,3.0,1.5,1.5
27884,3.0,1.5,1.5,1.5,1.0
56527,2.0,2.0,2.0,1.0,1.0
84881,1.0,1.0,1.0,1.0,1.0
97349,1.0,1.0,1.0,1.0,1.0
07854,8.0,8.0,8.0,2.6666666666666665,2.0
72194,1.0,1.0,1.0,1.0,1.0
39641,10.0,10.0,3.3333333333333335,2.5,1.4285714285714286
52991,4.0,2.0,2.0,2.0,2.0
02057,2.0,2.0,2.0,2.0,1.0
67525,1.0,1.0,1.0,1.0,1.0
06382,5.0,5.0,5.0,5.0,2.5
15555,5.0,5.0,5.0,5.0,2.5
71983,1.0,1.0,1.0,1.0,1.0
77814,1.0,1.0,1.0,1.0,1.0
18314,11.0,11.0,5.5,5.5,5.5
09120,2.0,2.0,2.0,1.0,1.0
17401,12.0,12.0,12.0,12.0,12.0
07820,2.0,2.0,2.0,2.0,2.0
23843,2.0,2.0,2.0,1.0,1.0
48493,2.0,2.0,2.0,2.0,2.0
84188,14.0,14.0,14.0,4.666666666666667,2.8
79757,15.0,15.0,15.0,5.0,5.0
78073,15.0,15.0,7.5,3.0,2.5
20158,7.0,3.5,2.3333333333333335,1.4,1.1666666666666667
76686,46.0,23.0,11.5,6.571428571428571,5.75
26439,1.0,1.0,1.0,1.0,1.0
69528,9.0,9.0,9.0,4.5,3.0
09276,3.0,3.0,1.5,1.0,1.0
68285,47.0,23.5,9.4,3.6153846153846154,2.35
39457,1.0,1.0,1.0,1.0,1.0
68236,35.0,35.0,35.0,7.0,4.375
89669,19.0,19.0,19.0,4.75,2.375
29549,3.0,1.5,1.5,1.5,1.5
51063,1.0,1.0,1.0,1.0,1.0
61354,30.0,30.0,7.5,4.285714285714286,3.3333333333333335
46525,14.0,14.0,14.0,7.0,4.666666666666667
12847,7.0,7.0,7.0,2.3333333333333335,2.3333333333333335
82971,2.0,2.0,2.0,2.0,2.0
27264,2.0,2.0,1.0,1.0,1.0
72553,8.0,4.0,2.6666666666666665,2.6666666666666665,1.6
85946,3.0,3.0,1.5,1.5,1.5
45670,17.0,17.0,17.0,8.5,4.25
18333,16.0,5.333333333333333,2.2857142857142856,1.6,1.3333333333333333
98870,12.0,12.0,12.0,12.0,12.0
00326,11.0,11.0,11.0,11.0,2.75
57496,47.0,47.0,47.0,47.0,47.0
76976,4.0,4.0,4.0,2.0,2.0
57868,2.0,2.0,2.0,1.0,1.0
13772,3.0,3.0,1.0,1.0,1.0
03904,1.0,1.0,1.0,1.0,1.0
18574,1.0,1.0,1.0,1.0,1.0
31118,1.0,1.0,1.0,1.0,1.0
64793,1.0,1.0,1.0,1.0,1.0
32773,18.0,18.0,18.0,6.0,3.6
20569,4.0,2.0,2.0,2.0,1.3333333333333333
93877,1.0,1.0,1.0,1.0,1.0
65897,3.0,3.0,1.5,1.5,1.5
97336,1.0,1.0,1.0,1.0,1.0
73463,2.0,2.0,2.0,2.0,2.0
63702,5.0,5.0,5.0,2.5,1.6666666666666667
45540,13.0,6.5,6.5,6.5,4.333333333333333
67196,3.0,3.0,3.0,3.0,3.0
50254,4.0,4.0,4.0,2.0,1.3333333333333333
49003,39.0,39.0,39.0,13.0,6.5
98725,1.0,1.0,1.0,1.0,1.0
45157,1.0,1.0,1.0,1.0,1.0
57051,22.0,11.0,3.6666666666666665,2.75,1.5714285714285714
95519,2.0,2.0,2.0,2.0,2.0
45273,2.0,2.0,2.0,1.0,1.0
13865,12.0,12.0,6.0,4.0,3.0
28117,41.0,20.5,10.25,3.4166666666666665,2.7333333333333334
47940,9.0,9.0,9.0,4.5,3.0
11563,3.0,3.0,3.0,1.5,1.5
02291,13.0,6.5,3.25,2.1666666666666665,2.1666666666666665
65927,1.0,1.0,1.0,1.0,1.0
99469,9.0,9.0,9.0,4.5,2.25
61304,1.0,1.0,1.0,1.0,1.0
97717,1.0,1.0,1.0,1.0,1.0
37246,1.0,1.0,1.0,1.0,1.0
12394,5.0,5.0,2.5,1.6666666666666667,1.0
13442,17.0,17.0,17.0,5.666666666666667,2.8333333333333335
34657,4.0,4.0,4.0,4.0,4.0
20868,4.0,4.0,4.0,1.3333333333333333,1.0
21248,2.0,2.0,2.0,1.0,1.0
50802,1.0,1.0,1.0,1.0,1.0
39645,1.0,1.0,1.0,1.0,1.0
80243,2.0,2.0,2.0,2.0,2.0
09231,3.0,3.0,3.0,3.0,3.0
62646,9.0,4.5,2.25,2.25,1.5
14899,4.0,4.0,4.0,4.0,4.0
08648,1.0,1.0,1.0,1.0,1.0
05422,2.0,2.0,2.0,1.0,1.0
15634,3.0,3.0,3.0,1.5,1.5
82208,8.0,8.0,4.0,2.0,1.3333333333333333
04879,1.0,1.0,1.0,1.0,1.0
29454,1.0,1.0,1.0,1.0,1.0
35374,18.0,18.0,6.0,3.6,2.5714285714285716
19338,4.0,4.0,2.0,2.0,2.0
67817,5.0,5.0,5.0,5.0,5.0
47140,5.0,5.0,2.5,1.6666666666666667,1.25
60053,2.0,2.0,2.0,2.0,2.0
70721,2.0,1.0,1.0,1.0,1.0
21889,5.0,5.0,2.5,1.25,1.0
55089,10.0,10.0,10.0,5.0,3.3333333333333335
90347,3.0,3.0,3.0,3.0,3.0
53380,49.0,49.0,49.0,24.5,24.5
80305,9.0,9.0,9.0,9.0,4.5
72472,4.0,2.0,2.0,2.0,2.0
40740,14.0,7.0,7.0,4.666666666666667,2.3333333333333335
15269,9.0,9.0,4.5,4.5,4.5
27990,11.0,11.0,11.0,11.0,11.0
95134,1.0,1.0,1.0,1.0,1.0
35640,30.0,30.0,30.0,7.5,3.75
33665,11.0,11.0,11.0,5.5,3.6666666666666665
41157,1.0,1.0,1.0,1.0,1.0
24269,11.0,11.0,2.2,1.5714285714285714,1.375
38672,1.0,1.0,1.0,1.0,1.0
22254,12.0,12.0,6.0,6.0,6.0
04438,10.0,10.0,10.0,5.0,5.0
89106,1.0,1.0,1.0,1.0,1.0
49630,1.0,1.0,1.0,1.0,1.0
03442,15.0,5.0,2.5,1.875,1.3636363636363635
04138,2.0,2.0,2.0,2.0,2.0
66401,1.0,1.0,1.0,1.0,1.0
70962,1.0,1.0,1.0,1.0,1.0
84673,4.0,4.0,4.0,4.0,4.0
59722,2.0,2.0,2.0,1.0,1.0
28334,3.0,3.0,3.0,3.0,3.0
24114,9.0,9.0,9.0,3.0,2.25
69182,10.0,10.0,3.3333333333333335,1.6666666666666667,1.4285714285714286
97469,3.0,3.0,3.0,1.5,1.5
65348,1.0,1.0,1.0,1.0,1.0
55321,3.0,3.0,3.0,3.0,3.0
57112,1.0,1.0,1.0,1.0,1.0
89555,3.0,3.0,3.0,3.0,3.0
88447,7.0,7.0,2.3333333333333335,2.3333333333333335,1.75
88138,1.0,1.0,1.0,1.0,1.0
58819,4.0,2.0,2.0,2.0,1.3333333333333333
93924,6.0,6.0,1.5,1.0,1.0
64038,1.0,1.0,1.0,1.0,1.0
12529,13.0,13.0,6.5,6.5,4.333333333333333
63697,1.0,1.0,1.0,1.0,1.0
48370,20.0,10.0,5.0,2.857142857142857,2.5
66119,1.0,1.0,1.0,1.0,1.0
18509,21.0,21.0,21.0,21.0,10.5
81093,4.0,4.0,4.0,4.0,2.0
47984,10.0,5.0,2.5,2.0,1.4285714285714286
85022,30.0,30.0,30.0,10.0,3.0
20512,11.0,11.0,2.75,1.8333333333333333,1.5714285714285714
29210,2.0,1.0,1.0,1.0,1.0
59318,5.0,2.5,1.6666666666666667,1.6666666666666667,1.0
65495,76.0,38.0,12.666666666666666,4.470588235294118,2.7142857142857144
86484,6.0,3.0,1.5,1.2,1.2
17427,13.0,13.0,4.333333333333333,4.333333333333333,2.6
42743,1.0,1.0,1.0,1.0,1.0
59652,5.0,5.0,1.25,1.25,1.25
65045,1.0,1.0,1.0,1.0,1.0
64985,1.0,1.0,1.0,1.0,1.0
02053,2.0,2.0,1.0,1.0,1.0
42688,9.0,9.0,9.0,3.0,2.25
83461,1.0,1.0,1.0,1.0,1.0
36067,2.0,2.0,2.0,2.0,2.0
42776,5.0,5.0,5.0,2.5,1.0
05107,2.0,2.0,2.0,2.0,2.0
48063,1.0,1.0,1.0,1.0,1.0
94102,25.0,12.5,6.25,1.5625,1.5625
17506,2.0,2.0,2.0,1.0,1.0
81878,1.0,1.0,1.0,1.0,1.0
59169,2.0,2.0,2.0,2.0,2.0
42923,1.0,1.0,1.0,1.0,1.0
74468,3.0,3.0,3.0,3.0,1.5
66584,2.0,2.0,2.0,2.0,2.0
29539,2.0,2.0,2.0,2.0,2.0
82753,1.0,1.0,1.0,1.0,1.0
45141,1.0,1.0,1.0,1.0,1.0
57483,1.0,1.0,1.0,1.0,1.0
65548,14.0,14.0,14.0,7.0,3.5
67896,1.0,1.0,1.0,1.0,1.0
53616,7.0,3.5,2.3333333333333335,2.3333333333333335,2.3333333333333335
64842,24.0,12.0,12.0,8.0,4.0
81355,1.0,1.0,1.0,1.0,1.0
25032,1.0,1.0,1.0,1.0,1.0
87097,4.0,2.0,2.0,1.3333333333333333,1.0
29089,4.0,4.0,4.0,4.0,4.0
49755,7.0,7.0,3.5,2.3333333333333335,2.3333333333333335
10436,2.0,1.0,1.0,1.0,1.0
40726,4.0,4.0,2.0,2.0,2.0
18634,12.0,12.0,4.0,2.4,2.0
18947,22.0,22.0,22.0,7.333333333333333,5.5
21249,4.0,4.0,2.0,1.3333333333333333,1.3333333333333333
29573,2.0,2.0,1.0,1.0,1.0
11332,1.0,1.0,1.0,1.0,1.0
82775,1.0,1.0,1.0,1.0,1.0
59072,2.0,2.0,2.0,2.0,1.0
55658,3.0,3.0,3.0,3.0,3.0
70531,2.0,2.0,2.0,2.0,2.0
40874,2.0,2.0,2.0,2.0,1.0
29865,21.0,21.0,21.0,21.0,10.5
78382,1.0,1.0,1.0,1.0,1.0
11722,1.0,1.0,1.0,1.0,1.0
49290,1.0,1.0,1.0,1.0,1.0
81206,42.0,42.0,42.0,10.5,2.4705882352941178
28316,1.0,1.0,1.0,1.0,1.0
25969,5.0,5.0,5.0,5.0,2.5
70097,4.0,4.0,4.0,4.0,4.0
95544,2.0,2.0,2.0,1.0,1.0
63079,41.0,41.0,41.0,20.5,13.666666666666666
09526,6.0,6.0,3.0,3.0,2.0
96666,7.0,7.0,7.0,1.75,1.1666666666666667
18386,5.0,5.0,2.5,2.5,2.5
25350,20.0,10.0,6.666666666666667,6.666666666666667,4.0
72236,1.0,1.0,1.0,1.0,1.0
32529,1.0,1.0,1.0,1.0,1.0
99366,1.0,1.0,1.0,1.0,1.0
34404,11.0,11.0,3.6666666666666665,2.75,1.8333333333333333
52364,7.0,7.0,7.0,7.0,7.0
55649,30.0,30.0,30.0,6.0,3.75
32660,57.0,57.0,57.0,14.25,8.142857142857142
65298,5.0,5.0,5.0,2.5,1.25
55551,2.0,2.0,2.0,2.0,2.0
66603,11.0,5.5,5.5,5.5,5.5
87019,2.0,2.0,1.0,1.0,1.0
53679,4.0,2.0,2.0,1.3333333333333333,1.0
41256,33.0,33.0,33.0,16.5,6.6
97163,6.0,3.0,2.0,1.5,1.0
58108,11.0,11.0,2.75,1.5714285714285714,1.2222222222222223
10272,3.0,3.0,3.0,1.5,1.0
53791,18.0,18.0,18.0,6.0,3.6
99187,7.0,7.0,3.5,2.3333333333333335,1.75
56716,7.0,7.0,7.0,3.5,1.75
81808,2.0,2.0,2.0,2.0,2.0
70640,37.0,37.0,37.0,12.333333333333334,4.625
50800,36.0,36.0,36.0,9.0,4.5
88150,2.0,2.0,2.0,2.0,2.0
21534,73.0,73.0,73.0,18.25,6.083333333333333
78983,153.0,153.0,153.0,38.25,15.3
98705,2.0,2.0,2.0,1.0,1.0
08945,2.0,2.0,2.0,1.0,1.0
05647,2.0,2.0,2.0,2.0,1.0
30953,10.0,5.0,3.3333333333333335,2.5,2.5
97676,1.0,1.0,1.0,1.0,1.0
50036,5.0,2.5,2.5,1.6666666666666667,1.25
17910,3.0,1.5,1.5,1.5,1.0
57500,1.0,1.0,1.0,1.0,1.0
94592,4.0,4.0,4.0,2.0,2.0
32654,1.0,1.0,1.0,1.0,1.0
41009,21.0,21.0,21.0,5.25,3.0
70345,78.0,39.0,15.6,6.0,3.5454545454545454
58582,14.0,14.0,14.0,3.5,2.8
61980,3.0,3.0,3.0,3.0,3.0
99659,30.0,30.0,30.0,10.0,7.5
59975,5.0,5.0,5.0,1.6666666666666667,1.6666666666666667
72068,15.0,15.0,15.0,7.5,3.75
21535,1.0,1.0,1.0,1.0,1.0
59264,12.0,12.0,6.0,6.0,6.0
77965,1.0,1.0,1.0,1.0,1.0
63392,4.0,4.0,2.0,1.0,1.0
19369,10.0,5.0,2.5,2.5,2.0
40353,13.0,13.0,13.0,6.5,6.5
34565,11.0,11.0,11.0,11.0,5.5
11236,7.0,7.0,3.5,2.3333333333333335,1.75
04616,10.0,10.0,10.0,10.0,3.3333333333333335
81083,3.0,3.0,3.0,1.5,1.0
76124,2.0,2.0,2.0,2.0,2.0
55520,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
87168,20.0,20.0,20.0,5.0,2.857142857142857
54097,3.0,3.0,3.0,3.0,3.0
30857,11.0,11.0,11.0,11.0,11.0
66382,12.0,12.0,12.0,4.0,4.0
68341,28.0,28.0,28.0,9.333333333333334,9.333333333333334
95138,1.0,1.0,1.0,1.0,1.0
02911,5.0,2.5,2.5,1.6666666666666667,1.6666666666666667
58167,4.0,4.0,2.0,1.3333333333333333,1.3333333333333333
