director_name,duration,movie_title,country,imdb_score
Christopher Nolan,152,The Dark Knight ,USA,9.0
Pete Docter,96,Up ,USA,8.3
Rob Letterman,94,Monsters vs. Aliens ,USA,6.5
Jon Favreau,126,Iron Man ,USA,7.9
Martin Scorsese,126,Hugo ,USA,7.5
Barry Sonnenfeld,106,Wild Wild West ,USA,4.8
Rob Cohen,112,The Mummy: Tomb of the Dragon Emperor ,USA,5.2
David Ayer,123,Suicide Squad ,USA,6.9
Tom Shadyac,96,Evan Almighty ,USA,5.4
Doug Liman,113,Edge of Tomorrow ,USA,7.9
Kevin Reynolds,176,Waterworld ,USA,6.1
Stephen Sommers,118,G.I. Joe: The Rise of Cobra ,USA,5.8
Pete Docter,95,Inside Out ,USA,8.3
Jon Favreau,106,The Jungle Book ,UK,7.8
Jon Favreau,124,Iron Man 2 ,USA,7.0
Rupert Sanders,132,Snow White and the Huntsman ,USA,6.1
Robert Stromberg,97,Maleficent ,USA,7.0
Matt Reeves,130,Dawn of the Planet of the Apes ,USA,7.6
Roland Joffé,109,The Lovers ,Belgium,4.5
Carl Rinsch,128,47 Ronin ,USA,6.3
Anthony Russo,136,Captain America: The Winter Soldier ,USA,7.8
Mike Mitchell,93,Shrek Forever After ,USA,6.4
Brad Bird,130,Tomorrowland ,USA,6.5
Don Hall,102,Big Hero 6 ,USA,7.9
Rich Moore,101,Wreck-It Ralph ,USA,7.8
Robert Zemeckis,100,The Polar Express ,USA,6.6
Roland Emmerich,120,Independence Day: Resurgence ,USA,5.5
Dean DeBlois,98,How to Train Your Dragon ,USA,8.2
Jonathan Mostow,109,Terminator 3: Rise of the Machines ,USA,6.4
James Gunn,121,Guardians of the Galaxy ,USA,8.1
Christopher Nolan,169,Interstellar ,USA,8.6
Christopher Nolan,148,Inception ,USA,8.8
Hideaki Anno,120,Godzilla Resurgence ,Japan,8.2
Peter Jackson,182,The Hobbit: An Unexpected Journey ,USA,7.9
Rob Cohen,106,The Fast and the Furious ,USA,6.7
David Fincher,166,The Curious Case of Benjamin Button ,USA,7.8
Matthew Vaughn,132,X-Men: First Class ,USA,7.8
Francis Lawrence,137,The Hunger Games: Mockingjay - Part 2 ,USA,6.6
Jon Turteltaub,109,The Sorcerer's Apprentice ,USA,6.1
Wolfgang Petersen,98,Poseidon ,USA,5.6
James Bobin,113,Alice Through the Looking Glass ,USA,6.4
Chris Miller,93,Shrek the Third ,USA,6.1
Duncan Jones,123,Warcraft ,USA,7.3
Alan Taylor,126,Terminator Genisys ,USA,6.6
Michael Apted,113,The Chronicles of Narnia: The Voyage of the Dawn Treader ,USA,6.3
Michael Bay,184,Pearl Harbor ,USA,6.1
Michael Bay,144,Transformers ,USA,7.1
Oliver Stone,206,Alexander ,Germany,5.5
David Yates,138,Harry Potter and the Order of the Phoenix ,UK,7.5
Mike Newell,157,Harry Potter and the Goblet of Fire ,UK,7.6
Peter Berg,102,Hancock ,USA,6.4
Francis Lawrence,104,I Am Legend ,USA,7.2
Tim Burton,115,Charlie and the Chocolate Factory ,USA,6.7
Brad Bird,111,Ratatouille ,USA,8.0
Christopher Nolan,128,Batman Begins ,USA,8.3
Eric Darnell,89,Madagascar: Escape 2 Africa ,USA,6.7
Shawn Levy,105,Night at the Museum: Battle of the Smithsonian ,USA,5.9
Gavin Hood,119,X-Men Origins: Wolverine ,USA,6.7
Lana Wachowski,129,The Matrix Revolutions ,Australia,6.7
Chris Buck,102,Frozen ,USA,7.6
Lana Wachowski,138,The Matrix Reloaded ,USA,7.2
Alan Taylor,112,Thor: The Dark World ,USA,7.1
George Miller,120,Mad Max: Fury Road ,Australia,8.1
Ron Howard,146,Angels & Demons ,USA,6.7
Kenneth Branagh,115,Thor ,USA,7.0
Byron Howard,96,Bolt ,USA,6.9
Hoyt Yeatman,88,G-Force ,USA,5.1
Jonathan Liebesman,99,Wrath of the Titans ,USA,5.8
Tim Burton,113,Dark Shadows ,USA,6.2
Christopher McQuarrie,131,Mission: Impossible - Rogue Nation ,China,7.4
Joe Johnston,119,The Wolfman ,USA,5.8
David Yates,110,The Legend of Tarzan ,USA,6.6
Steve Hickner,91,Bee Movie ,USA,6.2
Jennifer Yuh Nelson,90,Kung Fu Panda 2 ,USA,7.3
M. Night Shyamalan,103,The Last Airbender ,USA,4.2
J.J. Abrams,124,Mission: Impossible III ,USA,6.9
Roland Emmerich,131,White House Down ,USA,6.4
Simon Wells,88,Mars Needs Moms ,USA,5.4
David Bowers,85,Flushed Away ,UK,6.7
Joe Wright,111,Pan ,USA,5.8
Rob Minkoff,92,Mr. Peabody & Sherman ,USA,6.9
Wolfgang Petersen,196,Troy ,USA,7.2
Eric Darnell,93,Madagascar 3: Europe's Most Wanted ,USA,6.9
Lee Tamahori,133,Die Another Day ,UK,6.1
Paul Feig,116,Ghostbusters ,USA,5.5
Michael Bay,153,Armageddon ,USA,6.6
Barry Sonnenfeld,88,Men in Black II ,USA,6.1
Robert Zemeckis,115,Beowulf ,USA,6.3
Alessandro Carloni,95,Kung Fu Panda 3 ,USA,7.2
Brad Bird,133,Mission: Impossible - Ghost Protocol ,USA,7.4
Peter Ramsey,97,Rise of the Guardians ,USA,7.3
Dean Parisot,90,Fun with Dick and Jane ,USA,6.1
Edward Zwick,154,The Last Samurai ,USA,7.7
Ridley Scott,150,Exodus: Gods and Kings ,UK,6.1
J.J. Abrams,127,Star Trek ,USA,8.0
Sam Raimi,121,Spider-Man ,USA,7.3
Dean DeBlois,102,How to Train Your Dragon 2 ,USA,7.9
Alex Proyas,126,Gods of Egypt ,USA,5.5
Rob Cohen,121,Stealth ,USA,5.0
Zack Snyder,215,Watchmen ,USA,7.7
Richard Donner,127,Lethal Weapon 4 ,USA,6.6
Ang Lee,138,Hulk ,USA,5.7
Jon M. Chu,122,G.I. Joe: Retaliation ,USA,5.8
Breck Eisner,124,Sahara ,UK,6.0
Hironobu Sakaguchi,106,Final Fantasy: The Spirits Within ,USA,6.4
Joe Johnston,124,Captain America: The First Avenger ,USA,6.9
Michael Apted,128,The World Is Not Enough ,UK,6.4
Peter Weir,138,Master and Commander: The Far Side of the World ,USA,7.4
Bill Condon,115,The Twilight Saga: Breaking Dawn - Part 2 ,USA,5.5
George Miller,100,Happy Feet 2 ,Australia,5.9
Louis Leterrier,135,The Incredible Hulk ,USA,6.8
"",60,Miami Vice ,USA,7.5
Steven Spielberg,117,The BFG ,UK,6.8
Alejandro G. Iñárritu,156,The Revenant ,USA,8.1
David Soren,96,Turbo ,USA,6.5
Gore Verbinski,107,Rango ,USA,7.2
Eric Darnell,92,Penguins of Madagascar ,USA,6.7
Paul Greengrass,115,The Bourne Ultimatum ,USA,8.1
Mark Osborne,92,Kung Fu Panda ,USA,7.6
Peyton Reed,117,Ant-Man ,USA,7.4
Francis Lawrence,146,The Hunger Games: Catching Fire ,USA,7.6
Bill Condon,115,The Twilight Saga: Breaking Dawn - Part 2 ,USA,5.5
Tim Johnson,94,Home ,USA,6.7
Steven Spielberg,116,War of the Worlds ,USA,6.5
Michael Bay,147,Bad Boys II ,USA,6.6
Chris Miller,90,Puss in Boots ,USA,6.7
Phillip Noyce,101,Salt ,USA,6.4
Darren Aronofsky,138,Noah ,USA,5.8
Steven Spielberg,107,The Adventures of Tintin ,USA,7.4
Alfonso Cuarón,142,Harry Potter and the Prisoner of Azkaban ,UK,7.8
Baz Luhrmann,165,Australia ,Australia,6.6
M. Night Shyamalan,100,After Earth ,USA,4.9
Eric Leighton,82,Dinosaur ,USA,6.5
Matt Birch,"",Harry Potter and the Deathly Hallows: Part II ,UK,7.5
Shawn Levy,98,Night at the Museum: Secret of the Tomb ,USA,6.2
Tom McGrath,95,Megamind ,USA,7.3
Chris Columbus,159,Harry Potter and the Sorcerer's Stone ,UK,7.5
Robert Schwentke,96,R.I.P.D. ,USA,5.6
Hideaki Anno,120,Godzilla Resurgence ,Japan,8.2
Gore Verbinski,143,Pirates of the Caribbean: The Curse of the Black Pearl ,USA,8.1
Matt Birch,"",Harry Potter and the Deathly Hallows: Part I ,UK,6.4
Francis Lawrence,123,The Hunger Games: Mockingjay - Part 1 ,USA,6.7
Ron Howard,174,The Da Vinci Code ,USA,6.6
Carlos Saldanha,101,Rio 2 ,USA,6.4
Bryan Singer,134,X-Men 2 ,Canada,7.5
Justin Lin,132,Fast Five ,USA,7.3
Guy Ritchie,129,Sherlock Holmes: A Game of Shadows ,USA,7.5
Louis Leterrier,106,Clash of the Titans ,USA,5.8
Paul Verhoeven,113,Total Recall ,USA,7.5
John McTiernan,102,The 13th Warrior ,USA,6.6
Tony Gilroy,135,The Bourne Legacy ,USA,6.7
Joel Schumacher,125,Batman & Robin ,USA,3.7
Ron Howard,110,How the Grinch Stole Christmas ,USA,6.0
Roland Emmerich,124,The Day After Tomorrow ,USA,6.4
John Woo,123,Mission: Impossible II ,USA,6.1
Wolfgang Petersen,130,The Perfect Storm ,USA,6.4
Tim Story,92,Fantastic 4: Rise of the Silver Surfer ,USA,5.6
Ang Lee,127,Life of Pi ,USA,8.0
Mark Steven Johnson,123,Ghost Rider ,USA,5.2
Paul Greengrass,123,Jason Bourne ,UK,7.1
McG,107,Charlie's Angels: Full Throttle ,USA,4.8
Ridley Scott,124,Prometheus ,USA,7.0
Rob Minkoff,77,Stuart Little 2 ,USA,5.4
Neill Blomkamp,109,Elysium ,USA,6.6
David Twohy,134,The Chronicles of Riddick ,USA,6.7
José Padilha,117,RoboCop ,USA,6.2
Lana Wachowski,135,Speed Racer ,USA,6.1
James L. Brooks,121,How Do You Know ,USA,5.3
James Mangold,117,Knight and Day ,USA,6.3
Joseph Kosinski,124,Oblivion ,USA,7.0
George Lucas,140,Star Wars: Episode III - Revenge of the Sith ,USA,7.6
George Lucas,142,Star Wars: Episode II - Attack of the Clones ,USA,6.7
Pete Docter,92,"Monsters, Inc. ",USA,8.1
James Mangold,138,The Wolverine ,USA,6.7
George Lucas,136,Star Wars: Episode I - The Phantom Menace ,USA,6.5
Kirk De Micco,98,The Croods ,USA,7.3
Frédéric Forestier,116,Asterix at the Olympic Games ,France,5.1
John Woo,153,Windtalkers ,USA,6.0
Cedric Nicolas-Troyan,120,The Huntsman: Winter's War ,USA,6.1
Jonathan Liebesman,101,Teenage Mutant Ninja Turtles ,USA,5.9
Alfonso Cuarón,91,Gravity ,UK,7.8
Roger Donaldson,108,Dante's Peak ,USA,5.8
Dave Green,112,Teenage Mutant Ninja Turtles: Out of the Shadows ,USA,6.3
Josh Trank,100,Fantastic Four ,USA,4.3
Shawn Levy,108,Night at the Museum ,USA,6.4
Brad Peyton,114,San Andreas ,USA,6.1
Roger Spottiswoode,119,Tomorrow Never Dies ,UK,6.5
Roland Emmerich,142,The Patriot ,USA,7.1
Steven Soderbergh,125,Ocean's Twelve ,USA,6.4
Doug Liman,126,Mr. & Mrs. Smith ,USA,6.5
Robert Schwentke,119,Insurgent ,USA,6.3
Martin Scorsese,170,The Aviator ,USA,7.5
Rob Letterman,85,Gulliver's Travels ,USA,4.9
Michel Gondry,119,The Green Hornet ,USA,5.8
"",60,The A-Team ,USA,7.6
Noam Murro,102,300: Rise of an Empire ,USA,6.2
Raja Gosnell,103,The Smurfs ,USA,5.5
Will Finn,76,Home on the Range ,USA,5.4
Robert Schwentke,120,Allegiant ,USA,5.8
Shawn Levy,127,Real Steel ,USA,7.1
Raja Gosnell,105,The Smurfs 2 ,USA,5.4
Jan de Bont,121,Speed 2: Cruise Control ,USA,3.7
Gavin Hood,114,Ender's Game ,USA,6.7
Len Wiseman,129,Live Free or Die Hard ,USA,7.2
Peter Jackson,171,The Lord of the Rings: The Fellowship of the Ring ,New Zealand,8.8
Frank Coraci,120,Around the World in 80 Days ,USA,5.8
Michael Mann,165,Ali ,USA,6.8
Bo Welch,82,The Cat in the Hat ,USA,3.8
Alex Proyas,115,"I, Robot ",USA,7.1
Ridley Scott,194,Kingdom of Heaven ,USA,7.2
Rob Minkoff,84,Stuart Little ,Germany,5.9
Ron Clements,97,The Princess and the Frog ,USA,7.1
Ridley Scott,151,The Martian ,USA,8.1
Christopher Barnard,22,"10,000 B.C. ","",7.2
Michael Bay,136,The Island ,USA,6.9
Peter Chelsom,104,Town & Country ,New Line,4.4
Dominic Sena,127,Gone in Sixty Seconds ,USA,6.5
Ridley Scott,171,Gladiator ,USA,8.5
Steven Spielberg,145,Minority Report ,USA,7.7
Chris Columbus,174,Harry Potter and the Chamber of Secrets ,UK,7.4
Martin Campbell,144,Casino Royale ,UK,8.0
Tim Burton,119,Planet of the Apes ,USA,5.7
James Cameron,153,Terminator 2: Judgment Day ,USA,8.5
Michael Mann,140,Public Enemies ,USA,7.0
Ridley Scott,176,American Gangster ,USA,7.8
James Cameron,141,True Lies ,USA,7.2
Tony Scott,106,The Taking of Pelham 1 2 3 ,USA,6.4
Paul Weitz,98,Little Fockers ,USA,5.5
Adam McKay,116,The Other Guys ,USA,6.7
Chuck Russell,115,Eraser ,USA,6.1
Quentin Tarantino,165,Django Unchained ,USA,8.5
Gary Trousdale,91,The Hunchback of Notre Dame ,USA,6.9
Mark Dindal,78,The Emperor's New Groove ,USA,7.3
Simon West,103,The Expendables 2 ,USA,6.7
Jon Turteltaub,131,National Treasure ,USA,6.9
Stefen Fangmeier,104,Eragon ,USA,5.1
Spike Jonze,101,Where the Wild Things Are ,Germany,6.8
Joe Wright,111,Pan ,USA,5.8
Chris Wedge,102,Epic ,USA,6.7
Florian Henckel von Donnersmarck,103,The Tourist ,USA,6.0
Peter Hyams,121,End of Days ,USA,5.7
Edward Zwick,143,Blood Diamond ,Germany,8.0
Martin Scorsese,240,The Wolf of Wall Street ,USA,8.2
Joel Schumacher,121,Batman Forever ,USA,5.4
Paul Verhoeven,129,Starship Troopers ,USA,7.2
Tom Tykwer,172,Cloud Atlas ,Germany,7.5
Zack Snyder,101,Legend of the Guardians: The Owls of Ga'Hoole ,USA,7.0
Pitof,87,Catwoman ,USA,3.3
Brett Ratner,101,Hercules ,USA,6.0
Ron Clements,95,Treasure Planet ,USA,7.1
Brad Silberling,102,Land of the Lost ,USA,5.4
Patrick Hughes,131,The Expendables 3 ,USA,6.1
Ericson Core,114,Point Break ,USA,5.3
Lawrence Guterman,94,Son of the Mask ,USA,2.2
Ron Howard,122,In the Heart of the Sea ,USA,7.0
Ron Underwood,95,The Adventures of Pluto Nash ,USA,3.8
Paul Greengrass,115,Green Zone ,France,6.9
Steve Martino,88,The Peanuts Movie ,USA,7.2
David Mamet,110,The Spanish Prisoner ,USA,7.3
Stephen Sommers,130,The Mummy Returns ,USA,6.3
Martin Scorsese,216,Gangs of New York ,USA,7.5
Yimou Zhang,146,The Flowers of War ,China,7.6
Ash Brannon,85,Surf's Up ,USA,6.8
Frank Oz,93,The Stepford Wives ,USA,5.2
Ridley Scott,152,Black Hawk Down ,USA,7.7
Jay Roach,85,The Campaign ,USA,6.2
Luc Besson,126,The Fifth Element ,France,7.7
Michael Patrick King,146,Sex and the City 2 ,USA,4.3
Bibo Bergeron,89,The Road to El Dorado ,USA,6.9
Steve Martino,88,Ice Age: Continental Drift ,USA,6.6
Kenneth Branagh,105,Cinderella ,USA,7.0
Peter Jackson,135,The Lovely Bones ,USA,6.7
Andrew Stanton,100,Finding Nemo ,USA,8.2
Peter Jackson,192,The Lord of the Rings: The Return of the King ,USA,8.9
Peter Jackson,172,The Lord of the Rings: The Two Towers ,USA,8.7
Sergey Bodrov,102,Seventh Son ,USA,5.5
Simon West,100,Lara Croft: Tomb Raider ,USA,5.7
Wally Pfister,119,Transcendence ,UK,6.3
Joe Johnston,92,Jurassic Park III ,USA,5.9
Rupert Wyatt,105,Rise of the Planet of the Apes ,USA,7.6
Mark Waters,107,The Spiderwick Chronicles ,USA,6.6
John Moore,101,A Good Day to Die Hard ,USA,5.3
John Lee Hancock,137,The Alamo ,USA,6.0
Brad Bird,115,The Incredibles ,USA,8.0
Renny Harlin,124,Cutthroat Island ,USA,5.6
Chris Columbus,118,Percy Jackson & the Olympians: The Lightning Thief ,UK,5.9
Barry Sonnenfeld,98,Men in Black ,USA,7.3
John Lasseter,82,Toy Story 2 ,USA,7.9
Tony Scott,98,Unstoppable ,USA,6.8
Brett Ratner,90,Rush Hour 2 ,USA,6.6
Robert Zemeckis,130,What Lies Beneath ,USA,6.6
Phil Lord,90,Cloudy with a Chance of Meatballs ,USA,7.0
Carlos Saldanha,94,Ice Age: Dawn of the Dinosaurs ,USA,7.0
Ben Stiller,114,The Secret Life of Walter Mitty ,USA,7.3
McG,94,Charlie's Angels ,USA,5.5
Martin Scorsese,151,The Departed ,USA,8.5
Tony Bancroft,88,Mulan ,USA,7.5
Ben Stiller,121,Tropic Thunder ,USA,7.0
David Fincher,158,The Girl with the Dragon Tattoo ,USA,7.8
John McTiernan,128,Die Hard with a Vengeance ,USA,7.6
Guy Ritchie,128,Sherlock Holmes ,USA,7.6
Timur Bekmambetov,141,Ben-Hur ,USA,6.1
Gary Trousdale,95,Atlantis: The Lost Empire ,USA,6.8
Walt Becker,92,Alvin and the Chipmunks: The Road Chip ,USA,5.0
Bryan Singer,121,Valkyrie ,USA,7.1
Dennis Dugan,113,You Don't Mess with the Zohan ,USA,5.5
Chris Columbus,106,Pixels ,USA,5.6
Steven Spielberg,146,A.I. Artificial Intelligence ,USA,7.1
Rob Minkoff,88,The Haunted Mansion ,USA,4.9
Robert Zemeckis,150,Contact ,USA,7.4
Paul Verhoeven,119,Hollow Man ,USA,5.7
Sydney Pollack,128,The Interpreter ,UK,6.4
Thor Freudenthal,106,Percy Jackson: Sea of Monsters ,USA,5.9
Jan de Bont,117,Lara Croft Tomb Raider: The Cradle of Life ,USA,5.5
Jon M. Chu,129,Now You See Me 2 ,USA,6.9
Phillip Noyce,116,The Saint ,USA,6.2
Tony Scott,114,Spy Game ,Germany,7.0
Brian De Palma,114,Mission to Mars ,USA,5.6
Carlos Saldanha,96,Rio ,USA,7.0
Chris Columbus,132,Bicentennial Man ,USA,6.8
Mick Jackson,104,Volcano ,USA,5.4
Alan J. Pakula,111,The Devil's Own ,USA,6.1
Kathryn Bigelow,138,K-19: The Widowmaker ,UK,6.7
Josh Trank,100,Fantastic Four ,USA,4.3
John Milius,129,Conan the Barbarian ,USA,6.9
Ron Howard,144,Cinderella Man ,USA,8.0
Andrey Konchalovskiy,110,The Nutcracker in 3D ,UK,4.4
Gary Ross,140,Seabiscuit ,USA,7.3
Jan de Bont,113,Twister ,USA,6.3
Rob Cohen,106,The Fast and the Furious ,USA,6.7
Robert Zemeckis,143,Cast Away ,USA,7.7
George Miller,108,Happy Feet ,USA,6.5
Paul Greengrass,108,The Bourne Supremacy ,USA,7.8
Wolfgang Petersen,124,Air Force One ,USA,6.4
Steven Soderbergh,116,Ocean's Eleven ,USA,7.8
Paul W.S. Anderson,110,The Three Musketeers ,Germany,5.8
Genndy Tartakovsky,91,Hotel Transylvania ,USA,7.1
Kevin Lima,107,Enchanted ,USA,7.1
"",44,Hannibal ,USA,8.6
Daniel Espinosa,115,Safe House ,USA,6.8
Kevin Lima,100,102 Dalmatians ,USA,4.8
Brett Ratner,104,Tower Heist ,USA,6.2
Nancy Meyers,138,The Holiday ,USA,6.9
Tony Scott,140,Enemy of the State ,USA,7.3
Nancy Meyers,120,It's Complicated ,USA,6.6
Steven Soderbergh,122,Ocean's Thirteen ,USA,6.9
Roger Allers,83,Open Season ,USA,6.2
Neil Burger,139,Divergent ,USA,6.7
Jean-Jacques Annaud,131,Enemy at the Gates ,USA,7.6
Peter Berg,104,The Rundown ,USA,6.7
John McTiernan,130,Last Action Hero ,USA,6.2
Rob Marshall,145,Memoirs of a Geisha ,USA,7.3
Justin Lin,104,The Fast and the Furious: Tokyo Drift ,USA,6.0
Sarah Smith,97,Arthur Christmas ,UK,7.1
Martin Brest,178,Meet Joe Black ,USA,7.1
Andrew Davis,108,Collateral Damage ,USA,5.5
Bob Fosse,123,All That Jazz ,USA,7.8
Tarsem Singh,106,Mirror Mirror ,USA,5.6
Edgar Wright,112,Scott Pilgrim vs. the World ,USA,7.5
Jon Amiel,135,The Core ,USA,5.4
Peter Segal,109,Nutty Professor II: The Klumps ,USA,4.3
Raja Gosnell,86,Scooby-Doo ,USA,4.9
Pete Travis,95,Dredd ,UK,7.1
Frank Coraci,107,Click ,USA,6.4
George A. Romero,130,Creepshow ,USA,6.9
Brad Peyton,82,Cats & Dogs: The Revenge of Kitty Galore ,USA,4.3
Doug Liman,88,Jumper ,USA,6.1
Guillermo del Toro,120,Hellboy II: The Golden Army ,USA,7.0
David Fincher,162,Zodiac ,USA,7.7
Roger Spottiswoode,123,The 6th Day ,USA,5.9
Tom Shadyac,101,Bruce Almighty ,USA,6.7
Sylvester Stallone,113,The Expendables ,USA,6.5
Brian De Palma,110,Mission: Impossible ,USA,7.1
Gary Ross,142,The Hunger Games ,USA,7.3
Todd Phillips,102,The Hangover Part II ,USA,6.5
Tim Burton,126,Batman Returns ,USA,7.0
Tim Johnson,83,Over the Hedge ,USA,6.8
Dean DeBlois,85,Lilo & Stitch ,USA,7.2
Gary Winick,97,Charlotte's Web ,USA,6.4
Mimi Leder,120,Deep Impact ,USA,6.1
Dean Parisot,116,RED 2 ,USA,6.7
Peter Segal,113,The Longest Yard ,USA,6.4
Mike Mitchell,87,Alvin and the Chipmunks: Chipwrecked ,USA,4.4
Dennis Dugan,101,Grown Ups 2 ,USA,5.4
Peter Segal,110,Get Smart ,USA,6.5
Nancy Meyers,128,Something's Gotta Give ,USA,6.7
Martin Scorsese,138,Shutter Island ,USA,8.1
Seth Gordon,88,Four Christmases ,Germany,5.6
Chris Wedge,91,Robots ,USA,6.3
John Woo,138,Face/Off ,USA,7.3
Adam Shankman,99,Bedtime Stories ,USA,6.1
Sam Mendes,117,Road to Perdition ,USA,7.7
Dennis Dugan,117,Just Go with It ,USA,6.4
"",54,Daredevil ,USA,8.8
Simon West,123,Con Air ,USA,6.8
D.J. Caruso,118,Eagle Eye ,USA,6.6
Anthony Minghella,154,Cold Mountain ,USA,7.2
Albert Hughes,118,The Book of Eli ,USA,6.9
Les Mayfield,90,Flubber ,USA,5.2
Jan de Bont,113,The Haunting ,USA,4.9
Joe Pytka,88,Space Jam ,USA,6.3
Shawn Levy,93,The Pink Panther ,USA,5.6
Scott Derrickson,104,The Day the Earth Stood Still ,USA,5.5
Richard Donner,135,Conspiracy Theory ,USA,6.7
David Ayer,134,Fury ,USA,7.6
Ivan Reitman,98,Six Days Seven Nights ,USA,5.7
Eric Brevig,80,Yogi Bear ,USA,4.6
Kelly Asbury,83,Spirit: Stallion of the Cimarron ,USA,7.0
Frank Coraci,102,Zookeeper ,USA,5.2
Stephen Hopkins,130,Lost in Space ,USA,5.1
Jonathan Demme,129,The Manchurian Candidate ,USA,6.6
Henry Jaglom,117,Déjà Vu ,USA,7.0
Genndy Tartakovsky,89,Hotel Transylvania 2 ,USA,6.7
"",25,Bewitched ,USA,7.6
James Algar,74,Fantasia 2000 ,USA,7.3
Simon Wells,96,The Time Machine ,USA,5.9
Ron Underwood,114,Mighty Joe Young ,USA,5.6
Dominic Sena,99,Swordfish ,USA,6.5
Martin Campbell,129,The Legend of Zorro ,USA,5.9
Vincent Ward,113,What Dreams May Come ,USA,7.0
Steven Brill,90,Little Nicky ,USA,5.3
Terry Gilliam,118,The Brothers Grimm ,USA,5.9
Tim Burton,106,Mars Attacks! ,USA,6.3
Lucile Hadzihalilovic,81,Evolution ,France,6.4
Lee Tamahori,117,The Edge ,USA,6.9
Jonathan Mostow,89,Surrogates ,USA,6.3
Roger Donaldson,145,Thirteen Days ,USA,7.3
Rob Cohen,114,Daylight ,USA,5.8
Barry Cook,87,Walking with Dinosaurs 3D ,USA,5.2
Roger Christian,119,Battlefield Earth ,USA,2.4
Joe Dante,91,Looney Tunes: Back in Action ,Germany,5.7
Rob Marshall,118,Nine ,USA,5.8
Richard Donner,116,Timeline ,USA,5.6
Kevin Costner,177,The Postman ,USA,6.0
